Package Name,Minimal Install,Command
asdf,0,brew install asdf
astyle,0,brew install astyle
cloc,0,brew install cloc
cmake,0,brew install cmake
cowsay,0,brew install cowsay
cvs,0,brew install cvs
deno,0,brew install deno
fossil,0,brew install fossil
gh,0,brew install gh
ghcup,0,brew install ghcup
golang,0,brew install golang
hugo,0,brew install hugo
hunspell,0,brew install hunspell
jq,0,brew install jq
juliaup,0,brew install juliaup
llvm,0,brew install llvm
luaver,0,brew install luaver
lynis,0,brew install lynis
mercurial,0,brew install mercurial
neovim,0,brew install neovim
nvm,0,brew install nvm
pandoc,0,brew install pandoc
parallel,0,brew install parallel
pre-commit,0,brew install pre-commit
pyenv,0,brew install pyenv
python@3.10,0,brew install python@3.10
rbenv,0,brew install rbenv
rclone,0,brew install rclone
ruby-build,0,brew install ruby-build
scc,0,brew install scc
tmux,0,brew install tmux
tree,0,brew install tree
vim,0,brew install vim
zig,0,brew install zig
