Package Name,Minimal Install,Command
gcc,1,sudo apt install gcc -y
make,1,sudo apt install make -y
perl,1,sudo apt install perl -y
git,1,sudo apt install git -y
curl,1,sudo apt install curl -y
ca-certificates,1,sudo apt install ca-certificates -y
gnupg,1,sudo apt install gnupg -y
wget,1,sudo apt install wget -y
snapd,0,sudo apt install snapd -y
apt-transport-https,0,sudo apt install apt-transport-https -y
bash,0,sudo apt install bash -y
build-essential,0,sudo apt install build-essential -y
ca-certificates,0,sudo apt install ca-certificates -y
coreutils,0,sudo apt install coreutils -y
curl,0,sudo apt install curl -y
diffutils,0,sudo apt install diffutils -y
fdisk,0,sudo apt install fdisk -y
file,0,sudo apt install file -y
findutils,0,sudo apt install findutils -y
gawk,0,sudo apt install gawk -y
gcc,0,sudo apt install gcc -y
gnupg,0,sudo apt install gnupg -y
grep,0,sudo apt install grep -y
gzip,0,sudo apt install gzip -y
less,0,sudo apt install less -y
make,0,sudo apt install make -y
nano,0,sudo apt install nano -y
perl,0,sudo apt install perl -y
pkg-config,0,sudo apt install pkg-config -y
procps,0,sudo apt install procps -y
recutils,0,sudo apt install recutils -y
sed,0,sudo apt install sed -y
software-properties-common,0,sudo apt install software-properties-common -y
tar,0,sudo apt install tar -y
time,0,sudo apt install time -y
units,0,sudo apt install units -y
unzip,0,sudo apt install unzip -y
wget,0,sudo apt install wget -y
zip,0,sudo apt install zip -y
autoconf,0,sudo apt install autoconf -y
bc,0,sudo apt install bc -y
binutils,0,sudo apt install binutils -y
bzr,0,sudo apt install bzr -y
cflow,0,sudo apt install cflow -y
clisp,0,sudo apt install clisp -y
cssc,0,sudo apt install cssc -y
fop,0,sudo apt install fop -y
gcl,0,sudo apt install gcl -y
gdb,0,sudo apt install gdb -y
gforth,0,sudo apt install gforth -y
gfortran,0,sudo apt install gfortran -y
ghostscript,0,sudo apt install ghostscript -y
git,0,sudo apt install git -y
gnucobol,0,sudo apt install gnucobol -y
gprolog,0,sudo apt install gprolog -y
m4,0,sudo apt install m4 -y
mes,0,sudo apt install mes -y
openjdk-11-jdk,0,sudo apt install openjdk-11-jdk -y
openjdk-11-jre,0,sudo apt install openjdk-11-jre -y
patch,0,sudo apt install patch -y
rcs,0,sudo apt install rcs -y
sbcl,0,sudo apt install sbcl -y
scm,0,sudo apt install scm -y
sqlite3,0,sudo apt install sqlite3 -y
subversion,0,sudo apt install subversion -y
xsltproc,0,sudo apt install xsltproc -y
aspell,0,sudo apt install aspell -y
ffmpeg,0,sudo apt install ffmpeg -y
flatpak,0,sudo apt install flatpak -y
lynx,0,sudo apt install lynx -y
pigz,0,sudo apt install pigz -y
qemu-system,0,sudo apt install qemu-system -y
qemu-user-static,0,sudo apt install qemu-user-static -y
screen,0,sudo apt install screen -y
snapd,0,sudo apt install snapd -y
zsh,0,sudo apt install zsh -y
texlive-extra-utils,0,sudo apt install texlive-extra-utils -y
texlive-fonts-recommended,0,sudo apt install texlive-fonts-recommended -y
texlive-latex-base,0,sudo apt install texlive-latex-base -y
texlive-latex-extra,0,sudo apt install texlive-latex-extra -y
texlive-xetex,0,sudo apt install texlive-xetex -y
libgl1-mesa-dev,0,sudo apt install libgl1-mesa-dev -y
libglu1-mesa-dev,0,sudo apt install libglu1-mesa-dev -y
libncurses5-dev,0,sudo apt install libncurses5-dev -y
libncurses-dev,0,sudo apt install libncurses-dev -y
libpng-dev,0,sudo apt install libpng-dev -y
libssh-dev,0,sudo apt install libssh-dev -y
libwxgtk3.0-gtk3-dev,0,sudo apt install libwxgtk3.0-gtk3-dev -y
libwxgtk-webview3.0-gtk3-dev,0,sudo apt install libwxgtk-webview3.0-gtk3-dev -y
libxml2-utils,0,sudo apt install libxml2-utils -y
unixodbc-dev,0,sudo apt install unixodbc-dev -y
firefox,0,sudo apt install firefox -y
gimp,0,sudo apt install gimp -y
inkscape,0,sudo apt install inkscape -y
